VERKEHRSHINWEIS,,,,,,,,,,,,,
von Innsbruck,,07:08,,08:38,09:08,,,11:08,12:38,13:08,,15:08,
Seefeld i. T.,,07:44,,09:14,09:44,,,11:44,13:14,13:44,,15:44,
4186 von Leithen / Reith b. S.,,08:13,,09:33,10:13,,,12:13,,14:13,,16:13,
VERKEHRSHINWEIS,,,,,,,,,,,,,
Seefeld i. T. Bahnhof,,08:20,,09:40,10:20,,,12:25,13:20,14:20,,16:20,
Seefeld i. T. Hotel Metropol,,08:22,,09:42,10:22,,,12:27,13:22,14:22,,16:22,
Seefeld i. T. Birkenlift,,08:23,,09:43,10:23,,,12:28,13:23,14:23,,16:23,
Leutasch Unterkelle,,08:24,,09:44,10:24,,,12:29,13:24,14:24,,16:24,
Leutasch Gh Neuleutasch/Skilifte,,08:25,,09:45,10:25,,,12:30,13:25,14:25,,16:25,
Leutasch Weidach Kreithkapelle,,08:28,,09:48,10:28,,,12:33,13:28,14:28,,16:28,
Leutasch Weidach Gh Zum See,,08:29,,09:49,10:29,,,12:34,13:29,14:29,,16:29,
VERKEHRSHINWEIS,,,,,,,,,,,,,
4184 nach Oberleutasch,,08:30,,09:52,,,10:40,12:40,13:30,15:00,,17:15,
VERKEHRSHINWEIS,,,,,,,,,,,,,
4184 von Oberleutasch,06:17,08:24,,09:42,10:24,,11:44,12:29,,14:24,15:14,15:44,16:49
Leutasch Weidach Gh Zum See,06:20,08:30,,09:50,10:30,,11:45,12:40,13:30,14:30,15:20,16:30,17:30
Leutasch Weidach Quellenhof,,,,,,,11:46,12:41,,,,,
Leutasch Weidach Föhrenwald,,,,,,,11:50,12:45,,,,,
Leutasch Gasse Gh Rössl,06:22,08:32,,09:52,10:32,,11:52,12:47,13:32,14:32,15:22,16:32,17:32
Leutasch Gasse Naturwirt,06:24,08:34,,09:54,10:34,,11:54,12:49,13:34,14:34,15:24,16:34,17:34
Leutasch Ahrn,06:25,08:35,,09:55,10:35,,11:55,12:50,13:35,14:35,15:25,16:35,17:35
Leutasch Puitbach,06:26,08:36,,09:56,10:36,,11:56,12:51,13:36,14:36,15:26,16:36,17:36
Leutasch Reindlau,06:28,08:38,,09:58,10:38,,11:58,12:53,13:38,14:38,15:28,16:38,17:38
Leutasch Lochlehn,06:29,08:39,,09:59,10:39,,11:59,12:54,13:39,14:39,15:29,16:39,17:39
Leutasch Unterkirchen,06:31,08:41,,10:01,10:41,,12:01,12:56,13:41,14:41,15:31,16:41,17:41
Leutasch Gh Brücke,06:32,08:42,,10:02,10:42,,12:02,12:57,13:42,14:42,15:32,16:42,17:42
Leutasch Gh Mühle,06:33,08:43,,10:03,10:43,,12:03,12:58,13:43,14:43,15:33,16:43,17:43
Leutasch Staatsgrenze,06:35,08:45,,10:05,10:45,,12:05,13:00,13:45,14:45,15:35,16:45,17:45
Leutasch Geisterklamm,,08:46,,10:06,10:46,,12:06,13:01,13:46,14:46,15:36,16:46,17:46
Mittenwald Dekan-Karl-Platz,,08:54,,10:54,,,,13:09,,14:54,,16:54,
Mittenwald Bahnhof/Postamt,,08:56,,10:56,,,,13:11,,14:56,,16:56,
Mittenwald Bahnhof/Postamt,,09:03,,11:03,,,,13:13,,15:03,,17:03,
Mittenwald Dekan-Karl-Platz,,09:05,,11:05,,,,13:15,,15:05,,17:05,
Scharnitz Gh Risserhof,,09:13,,11:13,,,,13:23,,15:13,,17:13,
Gießenbach Abzw Bahnhaltestelle,,09:16,,11:16,,,,13:26,,15:16,,17:16,
Seefeld i. T. Rosshütte,,09:22,,11:22,,,,13:32,,15:22,,17:22,
Seefeld i. T. Bahnhof,,09:25,,11:25,,,,13:35,,15:25,,17:25,
Seefeld i. T. Bahnhof,,,09:30,,,11:30,,13:40,,15:30,,17:30,
Reith b. S. Krinz,,,09:32,,,11:32,,13:42,,15:32,,17:32,
Reith b. S. Abzw Gschwandtkopf,,,09:34,,,11:34,,13:44,,15:34,,17:34,
Reith b. S. Auland,,,09:35,,,11:35,,13:45,,15:35,,17:35,
Reith b. S. Information,,,09:37,,,11:37,,13:47,,15:37,,17:37,
Reith b. S. Kirche,,,09:38,,,11:38,,13:48,,15:38,,17:38,
Leithen Gh Hirschen,,,09:40,,,11:40,,13:50,,15:40,,17:40,
