,9651,9651,73,9651,73,9651,73
Füssen Bahnhof,05:30:00,,08:05:00,09:45:00,14:05:00,16:05:00,17:10:00
Steingaden Feuerwehrhaus Ri O,05:57:00,06:16:00,08:44:00,10:16:00,14:46:00,16:42:00,17:47:00
Wieskirche Ri N,,,08:49:00,10:21:00,14:57:00,16:52:00,
Rottenbuch Alte Post,,,,,,,
Echelsbacher Brücke Ri O ankunft,06:11:00,06:31:00,08:59:00,10:33:00,,17:05:00,17:59:00
Echelsbacher Brücke Ri O abfahrt,,,,,,,
Bad Bayersoien Echelsbach Ri S,,,,,,,
Bad Bayersoien Gschwendt Ri S,,,,,,,
Bad Bayersoien Gh Weißes Roß Ri O,,,,,,,
Bad Bayersoien Eisplatz Ri O,,,,,,,
Saulgrub Rathaus Ri S,,,,,,,
Bad Kohlgrub Feuerwehrhaus Ri O,,,,,,,
Bad Kohlgrub Rathaus,,,,,,,
Bad Kohlgrub Feuerwehrhaus Ri W,,,,,,,
Saulgrub Rathaus Ri W,,,,,,,
Saulgrub Bahnhof Ri S,,,,,,,
Saulgrub Bürgersaal Ri S,,,,,,,
Altenau Abzw Ri S,,,,,,,
Altenau Säge Ri S,,,,,,,
Wurmansau Ri S,,,,,,,
Scherenau Ri S,,,,,,,
Unterammergau Ammerbrücke Ri S,,,,,,,
Unterammergau Rathaus Ri S,,,,,,,
Oberammergau Bahnhof Ri O ankunft,,,,,,,
Oberammergau Bahnhof Ri O abfahrt,,,,,,,
Oberammergau Eugen Papst Straße Ri S,,,,,,,
Oberammergau Tiroler Gasse Ri N,,,,,,,
Oberammergau Hexenstube Ri O,,,,,,,
Oberammergau Aufackerstraße Ri S,,,,,,,
Oberammergau Rainenbichl Ri W,,,,,,,
Ettal Abzw Zieglerhof Ri O,,,,,,,
Ettal Klostergasthof Ri O,,,,,,,
Ettal am Berg Ri S,,,,,,,
Oberau Untermberg Ri S,,,,,,,
Oberau Bahnhof Ri S ankunft,,,,,,,
Oberau Bahnhof Ri S abfahrt,,,,,,,
Farchant Maibaum Ri S,,,,,,,
Partenkirchen Loisachauen Ri S,,,,,,,
Partenkirchen Friedhof Ri S,,,,,,,
Partenkirchen Werdenfelser Platz Ri S,,,,,,,
Garmisch Partenkirchen Rathaus Ri W,,,,,,,
Garmisch Partenkirchen Bahnhof,,,,,,,
