,9620,9620,9620,9620,9620,9620,9620
Murnau Bahnhof,08:42:00,11:17:00,12:20:00,13:13:00,14:36:00,15:35:00,17:36:00
Murnau Weindorfer Straße Ri O,08:45:00,11:22:00,12:25:00,13:18:00,14:39:00,15:40:00,17:39:00
Murnau Sollerstraße Ri W,,11:24:00,12:27:00,13:20:00,14:41:00,,
Murnau Grundschule Ri N,,11:26:00,12:29:00,13:23:00,14:43:00,,
Murnau Weindorf Ri O,08:46:00,11:27:00,12:30:00,13:26:00,14:46:00,15:41:00,17:40:00
Froschhausen Ri O,08:47:00,11:28:00,12:31:00,13:28:00,14:47:00,15:42:00,17:41:00
Riegsee Am Bimberg Ri N,08:49:00,11:30:00,12:33:00,13:30:00,14:49:00,15:44:00,17:43:00
Riegsee Gemeinde Ri N,08:50:00,11:31:00,12:34:00,13:32:00,14:50:00,15:45:00,17:44:00
Aidling Ri W,08:53:00,11:34:00,12:37:00,13:36:00,14:53:00,15:48:00,17:47:00
Aidling Aussiedlerhof Ri W,08:54:00,11:35:00,12:38:00,13:37:00,14:54:00,15:49:00,17:48:00
Leibersberg Ri N,08:56:00,11:37:00,12:40:00,13:40:00,14:56:00,15:51:00,17:50:00
Leibersberg Aussiedlerhof Ri O,08:57:00,11:38:00,12:41:00,13:41:00,14:57:00,15:52:00,17:51:00
Obersöchering Ri N,09:00:00,,,,15:00:00,15:56:00,17:54:00
Untersöchering Ri W,09:02:00,,,,15:02:00,15:58:00,17:56:00
Spatzenhausen Ri S,09:06:00,,,,15:06:00,16:02:00,18:00:00
Waltersberg Ri S,,,,,15:08:00,16:04:00,18:02:00
Hofheim Ri S,09:08:00,11:40:00,12:43:00,13:43:00,15:09:00,16:06:00,18:03:00
Murnau Egling Ri S,09:11:00,11:42:00,12:45:00,13:45:00,15:11:00,16:08:00,18:05:00
Murnau Neuegling Ri S,09:12:00,11:43:00,12:46:00,13:46:00,15:12:00,16:09:00,18:06:00
Murnau Kemmel-Park Ri S,09:16:00,11:47:00,12:50:00,13:48:00,15:16:00,16:13:00,18:10:00
Murnau Bahnhof,09:21:00,11:50:00,12:53:00,13:52:00,15:21:00,16:18:00,18:15:00
