,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Partenkirchen Sebastianskirche Ri W,,06:20:00,,,08:10:00,09:10:00,,10:10:00,,11:10:00,,12:10:00,13:00:00,14:10:00,,15:10:00,,16:10:00,,17:10:00,18:10:00,19:10:00,20:10:00,21:10:00
Partenkirchen Rathaus Ri W,,06:21:00,,07:20:00,08:11:00,09:11:00,09:42:00,10:11:00,10:42:00,11:11:00,11:42:00,12:11:00,13:01:00,14:11:00,15:08:00,15:11:00,16:08:00,16:11:00,17:08:00,17:11:00,18:11:00,19:11:00,20:11:00,21:11:00
Garmisch Partenkirchen Bahnhof Ri N,,06:23:00,,07:23:00,08:14:00,09:14:00,09:44:00,10:14:00,10:44:00,11:14:00,11:44:00,12:14:00,13:04:00,14:14:00,15:10:00,15:14:00,16:10:00,16:14:00,18:10:00,17:14:00,18:14:00,19:14:00,20:14:00,21:14:00
Partenkirchen Kurpark Ri W,,06:24:00,,07:24:00,08:16:00,09:16:00,09:46:00,10:16:00,10:46:00,11:16:00,11:46:00,12:16:00,13:06:00,14:16:00,15:12:00,15:16:00,16:12:00,16:16:00,17:12:00,17:16:00,18:16:00,19:16:00,20:16:00,21:16:00
Partenkirchen Marienplatz Ri N,,06:27:00,,07:28:00,08:21:00,09:21:00,09:51:00,10:21:00,10:51:00,11:21:00,11:51:00,12:21:00,13:11:00,14:21:00,15:17:00,15:21:00,16:17:00,16:21:00,17:17:00,17:21:00,18:21:00,19:21:00,20:21:00,21:21:00
Partenkirchen Am Mühlbach Ri W,,06:28:00,,07:29:00,08:23:00,09:23:00,09:53:00,10:23:00,10:53:00,11:23:00,11:53:00,12:23:00,13:13:00,14:23:00,15:19:00,15:23:00,16:19:00,16:23:00,17:19:00,17:23:00,18:23:00,19:23:00,20:23:00,21:23:00
Breitenau Ri W,,06:30:00,,07:32:00,08:26:00,09:26:00,09:56:00,10:26:00,10:56:00,11:26:00,11:56:00,12:26:00,13:16:00,14:26:00,15:22:00,15:26:00,16:22:00,16:26:00,17:22:00,17:26:00,18:26:00,19:26:00,20:26:00,21:26:00
Grainau Schmölz Abzw Ri W,,06:31:00,07:05:00,07:33:00,08:28:00,09:28:00,09:58:00,10:28:00,10:58:00,11:28:00,11:58:00,12:28:00,13:18:00,14:28:00,15:24:00,15:28:00,16:24:00,16:28:00,17:24:00,17:28:00,18:28:00,19:28:00,20:28:00,21:28:00
Gungl Stubn Ri W,06:24:00,,07:07:00,07:35:00,08:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:20:00,14:30:00,15:26:00,15:30:00,16:26:00,16:30:00,17:26:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00
An der Wies Ri S,,06:32:00,,07:36:00,08:31:00,09:31:00,,10:31:00,,11:31:00,,12:31:00,13:21:00,14:31:00,,15:31:00,,16:31:00,,17:31:00,18:31:00,19:31:00,20:31:00,21:31:00
Grainau Wankstraße Ri S,,06:33:00,,07:37:00,08:32:00,09:32:00,,10:32:00,,11:32:00,,12:32:00,13:22:00,14:32:00,,15:32:00,,16:32:00,,17:32:00,18:32:00,19:32:00,20:32:00,21:32:00
Grainau Höllentalstraße Ri W,,06:34:00,,07:39:00,08:34:00,09:34:00,,10:34:00,,11:34:00,,12:34:00,13:24:00,14:34:00,,15:34:00,,16:34:00,,17:34:00,18:34:00,19:34:00,20:34:00,21:34:00
Hammersbach,,,,07:41:00,08:37:00,09:37:00,,10:37:00,,11:37:00,,12:37:00,13:27:00,14:37:00,,15:37:00,,16:37:00,,17:37:00,18:37:00,19:37:00,20:37:00,21:37:00
Grainau Schwarzenkopfweg Ri W,,06:35:00,,07:43:00,08:40:00,09:40:00,,10:40:00,,11:40:00,,12:40:00,13:30:00,14:40:00,,15:40:00,,16:40:00,,17:40:00,18:40:00,19:40:00,20:40:00,21:40:00
Grainau Hotel Post Ri N,,06:36:00,,07:44:00,08:41:00,09:41:00,,10:41:00,,11:41:00,,12:41:00,13:31:00,14:41:00,,15:41:00,,16:41:00,,17:41:00,18:41:00,19:41:00,20:41:00,21:41:00
Grainau Zugspitzbahnhof Ri N,,06:37:00,,07:46:00,08:43:00,09:43:00,,10:43:00,,11:43:00,,12:43:00,13:33:00,14:43:00,,15:43:00,,16:43:00,,17:43:00,18:43:00,19:43:00,20:43:00,21:43:00
Dorfplatz Untergrainau Ri N,06:26:00,06:38:00,07:09:00,07:48:00,08:45:00,09:45:00,10:02:00,10:45:00,11:02:00,11:45:00,12:02:00,12:45:00,13:35:00,14:45:00,15:28:00,15:45:00,16:28:00,16:45:00,17:28:00,17:45:00,18:45:00,19:45:00,20:45:00,21:45:00
Grainau Badersee Ri S,06:28:00,06:40:00,07:11:00,07:50:00,08:47:00,09:47:00,10:04:00,10:47:00,11:04:00,11:47:00,12:04:00,12:47:00,13:37:00,14:47:00,15:30:00,15:47:00,16:30:00,16:47:00,17:30:00,17:47:00,18:47:00,19:47:00,20:47:00,21:47:00
Grainau Christlhütte Ri S,,06:43:00,,07:53:00,08:50:00,09:50:00,10:07:00,10:50:00,11:07:00,11:50:00,12:07:00,12:50:00,13:40:00,14:50:00,15:33:00,15:50:00,16:33:00,16:50:00,17:33:00,17:50:00,18:50:00,19:50:00,,
Eibsee,,06:46:00,,07:58:00,08:55:00,09:55:00,10:12:00,10:55:00,11:12:00,11:55:00,12:12:00,12:55:00,13:45:00,14:55:00,15:38:00,15:55:00,16:38:00,16:55:00,17:38:00,17:55:00,18:55:00,19:55:00,,
