Haltestelle/Linie,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Partenkirchen Klinikum,7:00,8:15,,9:00,,9:50,10:30,11:15,12:00,12:45,13:31,14:15,14:57,15:42,16:05,16:30,16:55,17:15
Partenkirchen Skistadion 1,7:01,8:16,,9:01,,9:51,10:31,11:16,12:01,12:46,13:32,14:16,14:58,15:43,16:06,16:31,16:56,17:16
Partenkirchen Wildenauer Straße 1,7:02,8:17,,9:02,,9:52,10:32,11:17,12:02,12:47,13:33,14:17,14:59,15:44,16:07,16:32,16:57,17:17
Partenkirchen Alpenstraße 1,7:02,8:18,,9:03,,9:53,10:33,11:18,12:03,12:48,13:34,14:18,15:00,15:45,16:08,16:33,16:58,17:18
Partenkirchen Mittenwalder Straße 1,7:03,8:19,,9:04,,9:54,10:34,11:19,12:04,12:49,13:35,14:19,15:01,15:46,16:09,16:34,16:59,17:19
Partenkirchen Hauptstraße / Dr. Wigger Straße 1,7:04,8:20,,9:05,,9:55,10:35,11:20,12:05,12:50,13:36,14:20,15:02,15:47,16:10,16:35,17:00,17:20
Partenkirchen Badgasse / Werdenfels Museum 1,7:05,8:21,,9:06,,9:56,10:36,11:21,12:06,12:51,13:37,14:21,15:03,15:48,16:11,16:36,17:01,17:21
Partenkirchen Historische Ludwigstraße 1,7:07,8:23,,9:08,,9:58,10:38,11:23,12:08,12:52,13:39,14:23,15:05,15:50,16:13,16:38,17:03,17:23
Partenkirchen Gemeindewerke,,,8:50 ,,9:30 ,,,,,,,,,,,,,
Partenkirchen Altenheim 1,,,8:52 ,,9:32 ,,,,,,,,,,,,,
Partenkirchen Dr Gazert Straße 1,,,8:53 ,,9:33 ,,,,,,,,,,,,,
Partenkirchen Sebastianskirche 1,7:10,8:26,8:56,9:11,9:36,10:01,10:41,11:26,12:11,12:55,13:42,14:26,15:08,15:53,16:16,16:41,17:06,17:26
Partenkirchen Rathaus 1,7:11,8:27,8:57,9:12,9:37,10:02,10:42,11:27,12:12,12:58,13:43,14:27,15:09,15:54,16:17,16:42,17:07,17:27
Partenkirchen Bahnhof 1 ankunft,7:15,8:31,9:01,9:16,9:41,10:06,10:46,11:31,12:16,13:01,13:47,14:31,15:13,15:58,16:21,16:46,17:11,17:31
Partenkirchen Bahnhof 1 abfahrt,7:15,8:31,9:01,9:16,9:41,10:06,10:46,11:31,12:16,13:04,13:47,14:31,15:13,16:02,16:21,16:46,17:11,17:31
Partenkirchen Kurpark 1,7:16,8:32,9:02,9:17,9:42,10:07,10:47,11:32,12:17,13:05,13:48,14:32,15:14,16:03,16:22,16:47,17:12,17:32
Partenkirchen Achenfeldstraße 1,7:18,8:34,9:04,9:19,9:44,10:09,10:49,11:34,12:19,13:07,13:50,14:34,15:16,16:05,16:24,16:49,17:14,17:34
Partenkirchen Alpspitzstraße 1,7:19,8:35,9:05,9:20,9:45,10:10,10:50,11:35,12:20,13:08,13:51,14:35,15:17,16:06,16:25,16:50,17:15,17:35
Partenkirchen Marienplatz 1,7:22,8:38,9:08,9:23,9:48,10:13,10:53,11:38,12:23,13:11,13:54,14:38,15:20,16:09,16:28,16:53,17:18,17:38
Partenkirchen Rießerkopfstraße 1,7:22,8:39,9:09,9:24,9:49,10:14,10:54,11:39,12:24,13:12,13:55,14:39,15:21,16:10,16:29,16:54,17:19,17:39
Partenkirchen Am Mühlbach 1,7:23,8:40,9:10,9:25,9:50,10:15,10:55,11:40,12:25,13:13,13:56,14:40,15:22,16:11,16:30,16:55,17:20,17:40
Partenkirchen Fichtackerstraße 1,7:23,8:41,9:11,9:26,9:51,10:16,10:56,11:41,12:26,13:14,13:57,14:41,15:23,16:12,16:31,16:56,17:21,17:41
Partenkirchen Archstraße 1,7:24,8:42,9:12,9:27,9:52,10:17,10:57,11:42,12:27,13:15,13:58,14:42,15:24,16:13,16:32,16:57,17:22,17:42
Partenkirchen Breitenau Zugspitzstraße 1,7:25,8:43,9:13,9:28,9:53,10:18,10:58,11:43,12:28,13:16,13:59,14:43,15:25,16:14,16:33,16:58,17:23,17:43
Partenkirchen Breitenau Loisachbrücke 1,,,,,,,,,,,,,,,16:33,,17:23,
Partenkirchen Äußere Maximilianstraße,,,,,,,,,,,,,,,16:34,,17:24,
Partenkirchen Grainauer Fußweg 1,7:26,8:44,9:14,9:29,9:54,10:19,10:59,11:44,12:29,13:17,14:00,14:44,15:26,16:15,16:35,16:59,17:25,17:44
Partenkirchen Aule Alm Fußweg 1,7:26,8:44,9:14,9:29,9:54,10:19,10:59,11:44,12:29,13:17,14:00,14:44,15:26,16:15,16:35,16:59,17:25,17:44
Partenkirchen Hammersbacher Fußweg 1,7:27,8:45,9:15,9:30,9:55,10:20,11:00,11:45,12:30,13:18,14:01,14:45,15:27,16:16,16:36,17:00,17:26,17:45
Partenkirchen Kreuzeck / Alpspitzbahn,7:30,8:50,9:20,9:35,10:00,10:25,11:05,11:48,12:35,13:23,14:06,14:50,15:32,16:19,16:43,17:05,17:33,17:50
