Beschreibung,Link_id,Fzg_pro_Tag,Lkw_Anteil,Rad_pro_tag,Verzerrung
Zugspitzstr_W,36020,6750,7,365,0
Zugspitzstr_O,36019,6500,7,365,0
Alpspitzstr_N,45978,5500,4,150,1
Alpspitzstr_S,45977,4000,4,150,0
Promenadestr_SW,44872,5500,7,135,0
Promenadestr_NO,44873,8250,7,135,1
Hauptstr_S,30679,11950,5,190,0
Hauptstr_N,30680,12150,5,190,0
StMartinStr_O_W,27701,11800,2,155,1
StMartinStr_O_O,12768,9150,2,155,0
StMartinStr_W_W,17278,13450,4,150,1
StMartinStr_W_O,20842,11000,4,150,0
Olympiastr_N_N,27698,4300,3,205,0
Olympiastr_N_S,27697,4500,3,205,0
Olympiastr_S_N,15245,2800,2,185,0
Olympiastr_S_S,15244,3100,2,185,0
VonMuellerStr_O,20480,900,5,230,0
VonMuellerStr_W,20481,850,5,230,0
